post_id,post,implicit_class
20234,no. stop immigration from countries where they grow oil and dirt. total shutdown. us gov't is incompetent seiu.,inferiority
2184,conservatism is dead . we're going to have white liberty or white fascism . and i choose liberty .,incitement
19860,grope a dope. hysterical!!!,irony
18231,the only immigration we should be having is white people .,incitement
14708,white guilt is over .,white_grievance
12502,let's be blunt . any arab muslim found to be circulating isis propaganda should be deported immediately . it's brutal but we are at war ! #tcot,threatening
20449,"sorry, cant add to the deficit for illegals.",white_grievance
16882,diversity always means less white people . #whitegenocide #antiwhite,white_grievance
15737," of course this jew is feigning that he  "" has no idea "" "" why white people are angry . he knows very well  he's trying to hide it . """,stereotypical
21102,What is the only football team a black person can join? The stealers.,irony
2756,white gentiles must critically assess themselves also,incitement
21337,what do you call a muslim feminist ? dead .,irony
9653,how many americans & their dreams must die @ th hands of illegal aliens b4 we secure our borders,stereotypical
7534,#neverforget israel & jewish criminals did 9/11 to justify endless war & tyranny . google israel did 9/11 - i dare u,stereotypical
21156,What's the difference between a black slave and a black surfer? One hangs high and the other hangs loose.,irony
552,jews want each of those girls to reject white men and use their white wombs to hatch black babies with black men .,inferiority
5671," rt  "" we have the highest number of illegal aliens in custody in history ... "" "" #mexico #buildthewall #invasion #wpww """,incitement
12847,what pronoun should we use to refer to people who are transitioning into martians ?,irony
3913,a jew head on white shoulders a schizophrenic society makes .,incitement
19763,"welcome to #sweden, refugees!maybe i should take a week or two myself, nice pool!",irony
21219,TELL ME MORE @ohthatliamm I'm not sexist but I don't think I actually find any female comedian funny,inferiority
14556,stop the white genocide ! #wpww,white_grievance
21024,How does a black guy Send mail? With food stamps,irony
21120,What's the difference between a black person and a couch? The couch can support a family,irony
19603,well the new thing is when you trash your own country move to another one! continue!,inferiority
21141,What do apples and black people both have in common? They both hang from trees,irony
3019,all american poor communities black white asian hispanic mexican . i just don't see controversy,white_grievance
14459,only white people conquered the amerindians & founded the united states of america . take your low iq anti-white racism away from us  period .,white_grievance
576,love you the bearer of aryan race ! ! see what is going on !,incitement
12848,what's worse : a white animal abuser or a black jew ?,irony
13126,already happening in toronto and is 52 % non-white . detroit : the death of white civilisation via,white_grievance
21209,"Too bad they won't take you! @the_CRISPY_man Call me sexist all you want, but I'll take a woman who can cook over one who can't ANY DAY",inferiority
15332,no sanctuary cities ( period ) !,white_grievance
9588,elder you are absolutely right . race has been a tool of the democrap party to villify white people and foster division .,white_grievance
20430,"okay, we can send the whole family back! what are their addresses? i will alert ice that they are all ready to leave!",threatening
6976,i'm 99.6 % white  so i want 4 % of all those sweet white gibs . be my ally sarah  accept your privilege and help me beat the system ! #resist,white_grievance
21317,"i knew a guy who died in a terrorist attack . <repeat> his last words were "" allahu akbar """,irony
21008,How long does it take a black woman to take a dump? 9 months,irony
3975,because it's totally out of the question for a muslim to kill white christians  right ?,irony
19192,"looks like neocon globalists got control, tragic",stereotypical
6747,america is white america . there is no america without whites dominant .,incitement
21218,"I'm not a Misandrist but Males in General can not Capitalize @g0ldenWan I'm not Sexist , but Females in General can not Drive.",inferiority
20856,You were damn lucky to end up in America if u were a slave compared to the shitholes to the south of us. TRUTH,stereotypical
21425,"She always wears such revealing clothing and flirts with all of these guys when we're out. It's just gross and dangerous. I'm not saying that a person deserves to be raped, but...",incitement
16509,when islam enters new territories  its purpose is to destroy . #stopislam #,stereotypical
3369,mass non-white immigration & forced assimilation for white nations is the main priority for world jewry since wwii . #whitegenocide,white_grievance
19633,"they must be forced to stay in africa and the me. africa is 20.4% of earth's land mass, europe is 6.7%. it's not our fault they can't develop it. europe shared and built european style civilizations all over africa, they ran us out and destroyed the cities, now they want ours.",inferiority
21042,"Why does Beyoncé always sing ""To the left, to the left"" Because black people have no rights.",irony
6589," rt :  "" white privilege conference "" "" says resisting jihad is racist  bashes robert spencer and pamela gell """,irony
19650,"believing you are an alien, or another species, or a man trapped in a woman's body is a perception disorder",inferiority
16723,76 arrested statewide in ice-led multi-agency gang enforcement effort <-- good ! ! #immigration #tcot,stereotypical
21020,I don’t think I’m racist I love black people I think every family should have one,irony
2060,: muslim gangs want 2 kill those who tell truth ? kill those who worship jesus christ ? kill those who draw,stereotypical
20756,"enforce r laws, all illegals out f here and fire gov employees in charge f migrants, including hussein obama brought them in dump em to taxp",threatening
18192,sweden : nordic resistance movement holds major rally | read more : via last thank god ( not allah ) .,incitement
