post_id,post,class
18981,these people were cucks before they were born . #cuckservative,not_hate
14432,no on daca no on amnesty,implicit_hate
14004,: ... also  organized jewry and anti-white blacks a,implicit_hate
9129,translation : in short ; all of the troubles of the american black  no matter how complicated or insignificant  is the fault of white people . as black people we are faultless and blameless for any and all of our troubles . now ! white people  fix our problems for us .,implicit_hate
6631," your  "" information "" "" is false . to say there is no european culture  is to say there are / were no cultural themes emanating from the continent . """,not_hate
4070,glenn beck will soon announce he is leading his third great awakening followers to guyana to build becktown .,not_hate
5819,all those lectures to white america about how evil were . our racist history .,not_hate
10135,white nationalists celebrate arrest of jew - news,not_hate
6729,ahhh another place dismantled by white supremacy terrorism,not_hate
21326,how do you starve a black man . <repeat> put his food stamps under his work boots .,implicit_hate
4843,after decades of law schools teaching critical race theory  #trucons are aghast that judges might have an anti-white bias,not_hate
18922,south africa youth leader says ' criminal ' whites stole land from blacks,not_hate
1610,proof that heidi cruz is an open borders globalist #cruzcrew,not_hate
5935,elites . we r all slaves 2 central bankers . white  black  brown  red . private bankers own fed.race distracts us,not_hate
15861,a petition stop christian court martial policy-check out this article from :,not_hate
18001,jared red pilled me a year ago . i'd watched his vids before . it took the second run to unbrainwash me . thank you jared .,not_hate
937,you will not succeed in your goal of a white ethno-state ! #heatherheyer will not die i,not_hate
8071,rt : : harvesting baby body parts ? watch here > > #defundpp #nmpol,not_hate
12703,sure . i hurt mine squatting with wrong barbell . outer forearm and inside elbow muscle and tissue strained . hurt with bent rows & curls .,not_hate
12755,they got a permit  antifa didn't they need to be charged with unlawful assembly  each assaul,not_hate
15626,white privilege is racial slur created by racist blacks .,implicit_hate
9164,wealthy white people are taxed and their income is redistributed to sustain 40 % of black people in ms on snap ebt,implicit_hate
8209,two years ago  mammon worship like this was essentially republican dogma . thank god that trump showed up and mainstreamed nationalism .,not_hate
10290," the realist report : jews  "" disproportionally represented "" "" amongst world's wealthiest """,not_hate
4860,amazing comments from the pope - considering vatican city is 100 % surrounded by massive walls .,not_hate
14684,what bill mitchell portends via #altright,not_hate
9657,how the vikings saved europe and got a terrible reputation | read more : via,not_hate
780,this is how it's done . take care of your people . follow onr in poland .,not_hate
16860,can't say they're pro-white when they libel pro-white activists who have been around longer than them .,not_hate
8338,you call yourself fair ! should be rename white race for white states,implicit_hate
20135,time to band together and get sickening vocal. whatever it takes to stop this garbage and the carriers of garbage. t,implicit_hate
1225,black people are redlined to preserve high property value and quality schools and safe streets .,not_hate
6657,+ 95 % of muslims are people of colour and most islamphobes are white racists .,not_hate
14556,stop the white genocide ! #wpww,implicit_hate
18782,it's not about any specific people  but about preserving everyone's freedom of conscience  incl yours .,not_hate
16371,the end game of globalization is 1 world govt . whitey stands in the way & also why the white guilt / sham,implicit_hate
20169,"pl. respond to attacks, despondency will not help; simply #deport all muslims",implicit_hate
9911,resources for women who regret taking the abortion pill . it may not be too late to reverse : #prolifecon #prolife,not_hate
6881,feels that peaceful activity by = intent to kill  because white supremacy . seems balanced .,not_hate
