post_id,target,implied_statement
1006,White people,White people have unearned privileges
1173,Whites,Whites have self-hating behavior
4917,Black folks,"Black folks exploit welfare, sell their culture, and impregnate white women."
19708,Muslims,Muslims are animals
713,Non-white people,Non-white people are a threat to white children
20730,Immigrants,Immigrants should be violently attacked.
19105,white people,white people are biased
17147,Non-white folks,Non-white folks are less capable of self-love
10919,Whites,Whites are outlaws if they stand for their own interests
20378,Enemy nation or group,Enemy nation or group are arrogant
2811,Immigrants,Immigrants take priority over US-born individuals
19941,Immigrants,Immigrants are desperate and exploit resources
12405,Chinese folks,Chinese folks are obnoxious
11117,White people,White people are replaceable
18934,Jews,Jews are greedy
5263,Liberals,Liberals are cucks
13308,Alt-right,Alt-right are violent
2057,Non-white people,Non-white people threaten the existence of white people
5144,White folks,White folks are being replaced.
7193,Black folks,Black folks act subserviently
15884,Non-white Americans,Non-white Americans are not true Americans
19772,Communists,Communists are liars and goons
3876,the postwar right,the postwar right are weak willed and morally cowardly
13720,Non-white folks,Non-white folks commit murders
19484,Jews,Jews are unclean
1866,Muslims,Muslims commit violence
20517,Immigrants,Immigrants are a burden on the economy
5711,Immigrants from the 3rd world,Immigrants from the 3rd world are stupid and create bad environments for their children
5923,Black folks,Black folks are guilty of hate crimes
7400,Non-white people,Non-white people are a threat to white people's existence
18564,Muslims,Muslims commit violent acts
1150,Black folks,Black folks commit violent crimes
17214,White students,Black students are violent
9303,White people,White people are white supremacists
13424,Muslims,Muslims are responsible for violence
19757,BLM protestors,BLM protestors are immature complainers
5683,White liberals,White liberals are the worst
20259,Immigrants,Immigrants take advantage of the system
12763,Non-white folks,Non-white folks are not part of the country's foundation
19572,LGBTQ+ folks,LGBTQ+ folks are degenerate
16377,White folks,White folks are necessary for political power.
19185,Immigrants,Immigrants bring bad habits
18467,Non-white people,Non-white people are incapable of maintaining Western freedom
19711,Muslims,Muslims stone people
16829,Immigrants,Immigrants are invading
19794,Conspiracy theorists,Conspiracy theorists are gullible
544,Non-white and/or Non-Christian people,Non-white and/or Non-Christian people are unfairly advantaged
12187,Non-white people,Non-white people are causing the decline of the white race
6469,Muslims,Muslims are intolerant
15279,white people,white people are regressive
2735,Non-white folks,Non-white folks are inferior
5797,Non-white immigrants,Non-white immigrants cause the extermination of the white race
12152,Minority ethnic groups,Minority ethnic groups are not welcome
20478,Immigrants,Immigrants should leave the country.
20088,Immigrants,Immigrants are criminals
4159,Non-white folks,Non-white folks cause violence and unfriendliness
5381,White males,White males are not serial killers
13646,Muslims,Muslims convert or kill
7789,Muslims,Muslims are untrustworthy
18844,Jews,Jews control global affairs
9742,Jews,Jews are dishonest
10803,Non-white people,Non-white people are a threat
5630,White people,White people promote white supremacy
18359,Non-white people,Non-white people are a threat to white people
10771,Northerners,Northerners are corrupt
12182,Northerners and Pacific Northwesterners,Northerners and Pacific Northwesterners are less receptive to nationalism
4644,Liberals,Liberals are controlling
15645,LGBTQ+ folks,LGBTQ+ folks are undeserving of equal service
7129,White people,White people feel guilty
11011,White people,White people are privileged
7590,Muslims,Muslims are hateful
14681,Non-white people,Non-white people are not contributors to building or founding principles
17935,Non-white races,Non-white races engage in identity politics and assert their political ambitions.
19713,LGBTQ+ folks,LGBTQ+ folks are not intelligent
16522,Non-white people,Non-white people are a threat to the white population
3647,Non-Aryans,Non-Aryans are not welcome
20635,Immigrants,Immigrants are a financial burden
18160,Black folks,Black folks are crazy
20218,Muslims,Muslims are unwanted
4888,White people,White people are ignorant
12126,"Non-white, Non-Christian Americans","Non-white, Non-Christian Americans are not part of the GOP's core identity"
19925,Immigrants,Immigrants are unwanted
1984,Immigrants,Immigrants threaten national sovereignty
14729,Non-white folks,Non-white folks are inferior
1909,Jews,Jews control the media
2752,Non-white people,Non-white people cannot assimilate into white Christian culture
7230,Fascists,Fascists are ignorant
12469,Non-white folks,Non-white folks are a threat
11704,Arabs,Arabs commit crimes
10888,White males,White males who vote for Clinton are gay
3269,Non-white folks,Non-white folks are inferior
11675,Muslims,Muslims are offended by non-Muslims
20336,Immigrants,Immigrants are illegal
7575,White people,Muslims kill white people
11936,Non-white people,Non-white people are a threat to the white population
19352,Religious people,Religious people are fools
10681,Black folks,Black folks are a burden to talk about
2862,Christians and Jews,Christians and Jews should be killed
5679,Muslims,Muslims commit violence
3503,White folks,White folks engage in sodomy
16645,White people,White people are racist
19200,Non-human beings,Non-human beings are inferior
13402,Non-white immigrants,Non-white immigrants are a weapon to destroy the white race.
10369,White people,Non-white people are invaders
353,Non-white people,Non-white people are a threat
19171,Muslims,Muslims are uncivilized
19252,Muslims,Muslims are inherently malicious and resistant to change
20438,Immigrants,Immigrants should be killed
20741,Muslims,Muslims are the enemy
9368,Liberals,Liberals are divisive
4651,Non-white people,Non-white people are being marginalized
4716,Women,Women are irresponsible
4708,Non-white folks,Non-white folks are less desirable
15488,Third worlders,Third worlders have low IQ
11787,White men,White men are not allowed to complain about their problems
2581,Africans,Africans commit violence
10037,Immigrants,Immigrants are changing the culture and making whites unwelcome
18405,White folks,White folks are disliked
19935,Muslims,Muslims are biased
6605,Muslims,Muslims are dangerous
12234,Leftists,Leftists are disloyal
20820,Muslims,Muslims commit pedophilia
3842,Blacks,Blacks are dangerous
20491,Chicagoans,Chicagoans are violent
9725,white race,white race are endangered
177,Non-white folks,Non-white folks are inferior
10950,White people,White people are not native to America
19609,Immigrants,Immigrants are invading and taking over
18254,Muslims,Muslims kill white people
20745,Un-American individuals,Un-American individuals are dangerous
19862,Gulf countries,Gulf countries are misogynistic
20103,Immigrants,Immigrants cause financial strain
20065,Mentally ill people,Mentally ill people are easily disturbed
8954,Black folks,Black folks are thugs who rob stores and fight cops
12631,White people,White people are boring and think they are superior despite lacking heritage
3330,White people,White people are ignored when they speak out
20739,Immigrants,Immigrants are illegal
