post_id,target,implied_statement
1006,White people,White people are privileged.
1173,White people,White people are self-destructive.
4917,Black people,Black people are exploitative.
19708,Muslims,Muslims are animals.
713,non-white people,non-white people are a threat to white people
20730,Unspecified,The unspecified group should be harmed.
19105,Conservatives,Conservatives are racist.
17147,non-white people,non-white people are inferior
10919,White people,White people are outlaws.
20378,Enemy nations or perceived threats,Enemy nations or perceived threats should be eliminated.
2811,Illegal immigrants,Illegal immigrants are harmful.
19941,Religious or cultural group,Religious or cultural group is desperate and failing.
12405,Chinese,Chinese are obnoxious.
11117,non-white people,non-white people are replacing white people
18934,Jews,Jews control the media.
5263,Alt-right,Alt-right are cucks.
13308,"Minorities, Immigrants",Minorities and immigrants should be targeted.
2057,non-white people,non-white people are a threat to white people
5144,non-white people,non-white people are replacing whites
7193,Black people,Black people are subservient.
15884,non-white people,non-white people are not true Americans
19772,left-wing individuals or communists,left-wing individuals or communists are a threat
3876,Conservatives,Conservatives are cowards.
13720,non-white people,non-white people are violent
19484,None,None
1866,Muslims,Muslims are violent.
20517,Immigrants,Immigrants are a burden.
5711,Third world people,Third world people are unintelligent.
5923,Black people,Black people commit hate crimes.
7400,non-white people,non-white people are replacing whites
18564,Muslims,Muslims are terrorists.
1150,Black people,Black people are violent.
17214,Black South Africans,Black South Africans are violent.
10297,antifa,antifa are gullible
9303,White people,White people are supremacists.
13424,Muslims,Muslims are violent.
11423,non-white people,non-white people are a threat to white people
19757,Black people,Black people are complainers.
5683,Liberals,Liberals are anti-white.
20259,Immigrants,Immigrants are criminals.
12763,non-white people,non-white people are not welcome
19572,LGBTQ+ individuals,LGBTQ+ individuals are morally corrupt and harmful.
16377,Democrats,Democrats are anti-white.
19185,Immigrants,Immigrants bring bad habits.
18467,non-white people,non-white people are a threat to freedom
67,White people,White people are discriminated against.
19711,Muslims,Muslims are violent.
2179,Immigrants,Immigrants are lawless.
16829,Immigrants,Immigrants are invaders.
19794,None,None
9387,Minorities,Minorities are oppressive.
544,Jews,Jews are exploiting whites.
5300,non-white people,non-white people are a threat
4143,white people,white people are bigots
12187,Non-whites,Non-whites are causing harm.
6469,Muslims,Muslims are intolerant.
15279,white people,white people are regressive
17353,white people,white people are bigots
18265,Muslims,Muslims are killers.
2735,non-white people,non-white people are problematic
20921,"Jews, Muslims, or other marginalized communities","Jews, Muslims, or other marginalized communities are a threat and should be eliminated."
5797,non-white people,non-white people are a threat
12152,Minorities,Minorities are a threat to the ethnostate.
20478,Immigrants,Immigrants should leave.
20088,Immigrants,Immigrants are criminals.
4159,non-white people,non-white people are violent
5381,White males,White males are serial killers.
13646,Muslims,Muslims are violent
7789,Muslims,Muslims are violent.
18844,Jews,Jews are controlling the world.
9742,non-white people,non-white people lack social bonding and honesty
10803,non-white people,non-white people are a threat
5630,White people,White people are supremacists.
18359,non-white people,non-white people are a threat
10771,non-white people,non-white people are a threat
20759,Immigrants,Immigrants are unwanted.
12182,"Not explicitly mentioned, but implies regional preferences for ideologies that could be associated with racial or nationalistic sentiments.",Certain regions are more receptive to ideologies that might be perceived as racist or nationalistic.
4644,Liberals,Liberals are traitors.
2954,Baby Boomers,Baby Boomers are irrelevant.
15645,LGBTQ+,LGBTQ+ people are not entitled to equal service.
20109,Immigrants,Immigrants are a burden.
2896,LGBTQ+ people,LGBTQ+ people are associated with extremist ideologies.
7129,white people,white people are self-destructive
11011,White people,White people are Trump supporters.
14133,Minorities,Minorities are taking over.
7590,Muslims,Muslims are hateful.
14681,non-white people,non-white people are inferior
4494,non-white people,non-white people are not American
17935,non-white people,non-white people are self-interested
19713,LGBTQ+,LGBTQ+ people are stupid.
16522,non-white people,non-white people are a threat
3647,Non-Aryans,Non-Aryans are inferior.
20635,Immigrants,Immigrants are a burden.
18160,Black people,Black people are violent.
20218,Muslims,Muslims are a threat.
10848,Muslims,Muslims are criticized.
19548,Immigrants or minorities,Immigrants or minorities are dangerous and harmful.
4888,White people,White people are ignorant.
10658,non-white people,non-white people are disrespectful
12126,non-white people,non-white people are a threat
19925,Mexicans,Mexicans are socialists.
1984,"Immigrants, Foreigners, Minorities","Immigrants, Foreigners, Minorities are a threat."
14729,non-white people,non-white people are inferior
1909,Jews,Jews are nazis
2752,non-white people,non-white people cannot assimilate
7230,White supremacists,White supremacists are resistant to change.
12469,non-white people,non-white people are a threat
11704,Arabs,Arabs are criminals.
10888,White males,White males who vote for Clinton are gay.
3269,non-white people,non-white people are a threat
11675,Muslims,Muslims are intolerant.
20336,Immigrants,Immigrants are illegal.
19227,Black people,Black people are inferior.
7575,Muslims,Muslims are violent.
1707,Jews,Jews suppress free speech.
11936,non-white people,non-white people are a threat
19352,Religious people,Religious people are foolish.
10681,Liberals,Liberals are immature.
2862,Muslims,Muslims want to kill Christians and Jews.
5679,Muslims,Muslims are terrorists.
3503,LGBTQ+ people,LGBTQ+ people are not truly white.
16645,Minorities,Minorities are hypocrites.
12893,non-white people,non-white people are hated
11114,Illegal Immigrants,Illegal Immigrants are criminals.
19726,Jews,Jews are greedy
19200,None,None
13402,Immigrants,Immigrants are a threat to the white race.
10369,non-white people,non-white people are invaders
353,non-white people,non-white people are a threat
19171,Muslims,Muslims are uncivilized.
19252,Muslims,Muslims are harmful and spread misery.
20438,Unspecified,An unspecified group should be killed.
20741,Muslims,Muslims are enemies.
9368,Liberals,Liberals are divisive.
4651,White people,White people are devils.
4716,Women,Women are irresponsible.
4708,White people,White people are bad.
15488,non-white people,non-white people are inferior
11787,White people,White people are ignored.
2581,Africans,Africans are violent and hypocritical about racism.
10037,Immigrants,Immigrants are taking over.
18405,White people,White people are hated.
19935,Muslims,Muslims are corrupt.
6605,Muslims,Muslims are violent.
12234,Liberals,Liberals are traitors.
20820,Muslims,Muslims are pedophiles.
3842,Black people,Black people are a threat to whites.
20491,Muslims,Muslims should be killed
9725,White people,White people are threatened by capitalism.
177,non-white people,"non-white people are a threat to the desired ""greatness"" of the nation."
10950,White people,White people are foreigners.
19609,Immigrants,Immigrants are invaders.
18254,Muslims,Muslims are violent.
20745,Immigrants,Immigrants are dangerous.
19862,Muslims from Gulf countries,Muslims from Gulf countries are unfairly criticized for misogyny.
20103,Immigrants,Immigrants are a burden.
20065,None,None
8954,Black people,Black people are criminals.
12631,White people,White people are arrogant.
3330,White people,White people are victims of racism.
20739,Illegal immigrants,Illegal immigrants should be targeted.
12732,White people,White people are unwanted.
12081,White people,White people are under attack
11958,"Catholics, Jews",Catholics and Jews are inferior.
16036,Immigrants,Immigrants are violent criminals.
19525,Immigrants,Immigrants are unintelligent and uncivilized.
16109,White people,White people are toxic.
20376,Immigrants,Immigrants are dangerous
6873,Jews,Jews are manipulative.
14563,white males,white males are unfairly criticized
19917,Minorities,Minorities are not oppressed.
20182,Immigrants,Immigrants are criminals.
4220,Minorities,Minorities are violent.
20779,non-white people,non-white people are violent
20407,Immigrants,Immigrants are a burden.
2260,Jews,Jews should be killed
12584,White people,White people are being eliminated.
5322,Immigrants,Immigrants are a threat.
18376,non-white people,non-white people are inferior
3892,Black people,Black people are violent.
6651,Black people,Black people are hypocrites.
20788,Minorities,Minorities are evil.
14006,Jews,Jews are conspirators.
1477,Democrats,Democrats are manipulative.
17831,White,White people are not allowed to be proud of their race.
17794,Black people,Blacks are not targeted.
9250,Native Americans,Native Americans are not true natives.
19156,Jews,Jews are inferior.
4097,White supremacists,Associating with white supremacists is problematic.
9429,non-white people,non-white people are a threat
2643,Non-white people,Non-white people are inferior.
7963,Black people,Black people are hostile.
2692,Indians,Indians are untrustworthy.
11088,Jews,Jews are against white people.
19207,Illegal immigrants,Illegal immigrants are a burden.
12227,Jews,Jews are white.
3260,Immigrants,Immigrants cause harm.
10268,Jews,Jews are corrupt.
20147,Immigrants,Immigrants are not worthy of help.
8723,Jews,Jews are a threat
5551,Black Lives Matter supporters,Black Lives Matter supporters are a threat.
19834,None,None
1661,non-white people,non-white people are taking over
20735,Immigrants,Immigrants are terrorists.
20638,Protesters,Protesters are dangerous and should be violently suppressed.
11693,Black people,Black people are corruptive.
11235,White people,White people are hated.
20873,Jews,Jews should be killed.
456,Black people,Black people are racist.
6270,Immigrants,Immigrants are blamed for environmental issues.
11927,non-white people,non-white people are inferior
8658,White people,White people are diminished by diversity.
4831,Muslims,Muslims are hateful.
2974,Black people,Black people blame whites for their problems.
2106,Non-white people,Non-white people are not American.
14395,non-white people,non-white people are bad
16649,Immigrants,Immigrants are criminals.
11095,Jews,Jews are dishonest.
4358,white people,white people are being erased
501,Non-Scandinavian or Non-Irish white people,Non-Scandinavian or Non-Irish white people are not truly white.
19123,Immigrants,Immigrants cause problems.
18126,Black people,Black people are hateful.
7117,Muslims,Muslims are terrorists.
18227,Muslims,Muslims are racist.
9281,White people,White people are the problem.
4034,Non-Europeans,Non-Europeans are a threat.
20128,Illegal immigrants,Illegal immigrants cause problems.
3779,White people,White people are annoying.
18275,Jews,Jews are articulate and bold.
19953,LGBTQ+,LGBTQ+ people are not entitled to rights.
18300,Non-white immigrants,Non-white immigrants are a threat.
20580,Immigrants,Immigrants are uncivilized.
2701,Jews,Jews are to blame for the world's problems.
19533,Immigrants,Immigrants are unwanted.
19812,Immigrants,Immigrants exploit the system.
10017,Not explicitly identifiable,Not explicitly identifiable
5539,Minorities,Minorities are oppressors.
16318,Black people,Black people are poor.
17273,White people,White people are traitors.
20008,Jews,Jews are vermin.
19668,Immigrants,Immigrants are invaders.
9468,Black people,Black people are racist.
18667,Black people,Black people are violent.
998,Black people,Black people are harmful.
18271,Immigrants,Immigrants are a threat to white America.
12309,Somalis,Somalis are murderers.
5918,Muslims,Muslims are violent.
6136,Muslims,Muslims are dangerous.
3429,Muslims,Muslims are violent criminals.
19641,Muslims,Muslims are monsters.
16225,Muslims,Muslims are a problem.
3209,antifa,antifa cause violence.
6654,Central Asian Turkic people,Central Asian Turkic people are not white.
965,White people,White people are outdated.
17915,Black and Brown people,Black and Brown people are violent and hateful.
7904,Black people,Black people are inferior.
4744,Liberals,Liberals are degenerates.
11441,non-white people,non-white people want white people to die out
8595,Non-whites,Non-whites hate white people.
3156,non-white people,non-white people are rapists
13137,Jews,Jews are inferior.
13601,Black people,Black people are inferior.
19861,Immigrants,Immigrants are involved in drug trafficking.
17776,Mexicans,Mexicans are invaders.
2590,white people,white people do not have abortions
12264,Muslims,Muslims are anti-feminist.
13049,"LGBTQ+ people, Atheists, Feminists","LGBTQ+ people, Atheists, Feminists are weak."
6178,non-white people,non-white people are a threat
15269,Jews,Jews are cowardly.
169,Black people,Black people are unwanted.
13805,Asians,Asians are a threat to whites.
12315,non-white people,non-white people are dangerous
8805,Jews,Jews are anti-white.
5343,White people,White people are ignorant.
7520,White people,White people are lazy.
3770,Black people,Black people are violent and racist.
7341,Jews,Jews are white.
14228,Jews,Jews are threatened.
9367,white people,white people are unfairly targeted
19921,non-Indian migrants,"non-Indian migrants are not family-focused, hard-working, or ambitious"
8191,non-white people,non-white people are anti-white
12905,Democrats,Democrats hate white people.
11698,Immigrants,Immigrants are a threat.
3214,Muslims,Muslims are violent and hateful.
20839,Furries,Furries should be harmed.
4646,Jews,Jews are anti-white.
4870,Jews,Jews are fraudulent.
5837,Antifa,Antifa is violent and dangerous.
8145,White people,White people are unwanted.
13664,Jews,Jews are taking over.
3073,Black people,Black people are biased.
16276,Minorities,Minorities are ruining cities.
20325,Muslims,Muslims are terrorists
10927,Black people,Black people are rebellious.
15049,White people,White people are oppressed.
10520,"Jews, non-white people",Jews and non-white people are taking over the world.
7888,non-white people,non-white people are inferior
20158,Immigrants,Immigrants should be deported.
8986,non-white people,non-white people are hateful
1054,Jews,Jews are against whites.
3907,Immigrants,Immigrants are invaders.
7005,White people,White people are evil.
11267,Illegal Immigrants,Illegal Immigrants are a problem.
14880,non-white people,non-white people are a threat
8962,Immigrants,Immigrants are a threat to Germans.
20539,LGBTQ+,LGBTQ+ people have AIDS.
16476,Italians,Italians are not truly white.
10958,White people,White people are under attack.
10921,Non-whites,Non-whites are violent
16426,Jews,Jews are deceptive.
14471,Women,Women are ignorant.
18005,Jews,Jews are enemies of Christianity and Western civilization.
11759,Muslims,Muslims are evil.
2400,White people,White people are hateful.
847,non-white people,non-white people are incompetent
13820,Jews,Jews are hateful.
16567,Jews,Jews hate white people.
16539,Journalists,Journalists are anti-white.
19396,Black people,Black people are inferior.
705,Liberals,Liberals are hypocrites.
1274,Black people,Black people are violent.
20694,Muslims,Muslims are infiltrating society
17254,White people,White people are being destroyed.
12706,Immigrants,Immigrants are a threat.
18545,Black people,Black people are a threat to white people.
18267,Jews,Jews are bad allies.
10862,White,White people are hated.
19554,Muslims,Muslims are uncivilized.
16817,Black people,Black people are threatening.
18003,Jews,Jews are a threat to white people
11157,Black people,Black people are hostile to other black people who don't conform to their expectations.
7098,Immigrants,Immigrants are undeserving.
19886,Disabled people,Disabled people are inferior.
7048,Jews,Jews are hypocritical.
16214,Black people,Black people are unpatriotic.
11694,Non-white people,Non-white people are selfish.
6567,White people,White people are inferior.
879,non-white people,non-white people are inferior
20010,Illegal immigrants,Illegal immigrants should leave.
8214,Asians,Asians are terrorists.
16564,non-white people,non-white people are undeserving
15303,White people,White people are outnumbered.
15424,Jews,Jews control the media.
7550,Muslims,Muslims are hated.
2455,non-whites,non-whites are violent
20306,Immigrants,Immigrants are illegal.
1055,Jews,Jews are manipulative
10219,Jews,Jews are hypocrites.
5111,Non-white people,Non-white people are inferior.
20196,Immigrants,Immigrants are criminals.
3270,"Jews, white people","Jews impose their beliefs, white people are made to feel guilty"
6463,non-white people,non-white people are anti-white racists
2836,White people,White people are self-destructive.
16633,Liberals,Liberals are the enemy.
16096,white people,white people will prevail
9737,non-white people,non-white people are less intelligent
13741,Non-whites,Non-whites are a threat.
19507,Muslims,Muslims are barbarians.
20683,Immigrants,Immigrants are criminals
8667,White people,White people are being exterminated.
15331,non-white people,non-white people are not true Americans
6848,white people,white people are dismissed
10904,"Muslims, Black people",Muslims and Black people are racist.
20114,Immigrants,Immigrants should be deported.
183,Black people,Black people hate whites.
13012,Muslims,Muslims are harmful
20331,Immigrants,Immigrants are a burden.
19789,Immigrants,Immigrants spread disease.
7935,Non-whites,Non-whites are unwanted.
16883,Muslims,Muslims are a threat to the constitution.
19623,Black people,Black people are incompetent.
8694,White people,White people are privileged.
10989,White people,White people are racist.
6462,White people,White people are inferior.
5973,Muslims,Muslims are killers.
5435,Black people,Black people are violent and mentally ill.
760,Jews,Jews are destroying America.
17674,Muslims,Muslims are violent.
20251,Immigrants,Immigrants are criminals
11530,White people,White people are violent.
10966,Jews,Jews are a threat.
19410,Muslims,Muslims are harmful.
4726,Jews,Jews control politics.
16087,"Blacks, Asians","Blacks are physically superior, Asians are mentally superior."
19758,Immigrants,Immigrants take advantage of the system.
3776,White people,White people should be eliminated.
6438,Jews,Jews are complicit in violence against whites.
12355,White people,White people are doomed.
19376,Black people,Black people are outpacing others in population growth.
19502,Immigrants or refugees from underdeveloped countries,Immigrants or refugees from underdeveloped countries are untraceable and not trustworthy.
3638,non-white people,non-white people are inferior
17143,white women,white women are inferior
19273,Black people,Black people are inferior and diseased.
17025,White men,White men are disadvantaged.
11433,Black people,Black people are unskilled laborers.
19646,Immigrants,Immigrants are parasites.
4858,Jews,Jews are greedy.
15284,non-white people,non-white people are a threat
638,Immigrants,Immigrants are invaders.
15274,Immigrants,Immigrants take jobs.
18516,Muslims,Muslims are pedophiles.
18676,Jews,Jews are manipulative.
6318,Black people,Black people are violent and seek power.
19416,Muslims,Muslims are misogynistic.
19774,Immigrants,Immigrants are unwanted.
19852,Muslims,Muslims are evil and deserve punishment.
580,Non-white people,Non-white people are a problem.
17129,Muslims,Muslims teach hate and violence.
10240,White people,White people are guilty.
5483,Christians,Christians are pedophiles.
10920,Muslims,Muslims are violent
18258,non-white people,non-white people are a threat
403,Jews,Jews exaggerate the Holocaust.
20724,Black people,Black people are uncivilized.
2942,White people,White people deserve to experience violence.
9346,Minorities,Minorities are taking over.
7468,non-white people,non-white people are anti-white
20690,Immigrants,Immigrants are criminals.
3823,Mexicans,Mexicans are opportunistic.
14863,White people,White people are disadvantaged.
11910,non-white people,non-white people are excluded
10917,Black people,Black people are criminals.
18442,non-whites,non-whites are violent
15760,Muslims,Muslims are violent.
4368,Black people,Black people are hypocrites.
19262,non-white people,non-white people are unintelligent
14211,LGBTQ+,LGBTQ+ are not accepted.
