post_id,post,target,implied_statement
3990,boohoo white people can't get their financial life together .,white people,white people are whiners
9321," of course the  "" holocaust "" "" didn't happen - it's a false  anti-german propaganda campaign . """,Jews,Jews are liars
11687,no one cares about whites . dangerious minoritys are taking our country ! thx for sharing brother . #14words #teaparty,minorities,Minorities hate white people.
4765,#hannahcornelius - why not come home to #europe  whites will never be welcome in #southafrica,South Africans,South Africans don't like white people.
598,muslims are always wanting to kill someone ! its their duty to kill the infidel .,Muslims,Muslims are violent
311,basic human rightswhat for so how are u guys on jews and blacksben n i hate them,"Black people, Jewish people",Black people and Jewish people don't deserve human rights
2881," needs 2b noted in2011  "" christian "" "" hategroup encouraged isis / alqaeda / taliban anti - #lgbt attacks #familyvalues #religiousliberty """,Christians,Christians hate the LGBT community
12499,leave milo alone . he is exposing white people for their hatred of white people,white people,White people hate other white people.
20521,savages thy name is islam! #rt #stopislam #makedclisten #bansharia,Muslims,Muslims are savages
6116,jared you must reconsider naming jews white,Jews,Jews are beneath the white race.
20363,#2a #molonlabe arrest the dc terrorists too! rt,Muslims,Muslims are terrorist.
8549,amen ! i am so sick of seeing white men with asians while white women sit home .,Asians,Asians are a substandard race.
16856,cabela's is the last stand of implicit white identity .,white people,White people shop at Cabela's.
3464,question  i am descended from pashtuns  the original aryans that hitler even imported to purify germans . does that count ? am i in ? heil !,"People of color, Jewish people","People of color, Jewish people are inferior to white people/aryans and need to be purified"
20026,"oh, i see: """"take it back"""" from good, decent people and give it to you evil jerks. got it!",Immigrants,Immigrants are thieves
11934,white because white supremacy,Minorities,Minorities are inferior
2787,whole foods jesus : god * * * white america : rev . jeff hood riles up the black lives matter crowd,Black people,Black people are rowdy
1331,frightened aren't you  it won't be long before whitey is walking thru the slums  hoping and preying for a white victory,Whites,Whites want to dominate over minorities.
11518,hello speedy gonzales  hows it going jose ? bumped any old white people off lately ? ? oh youre hispanic huh ? kill em all you mexican devil,hispanic people,Hispanic people kill white people.
10454,boots with swastika design causes jewish outcry va,Jews,Jews are sensitive
4075,great job white nationalism !,People of color,People of color are inferior to white people
7008,in white power by rockwell  chapter called : nightmare  is coming true ! all out black on white war ! prepare now !,Black people,Black people are aggressors
12236,another anti-white hate crime by a muslim .,Muslims,Muslims commit violence against whites
12473,its my understanding that most abortions are by white women . judging from the surge in the non white population it,white people,White people have more abortions than other races.
11591,indian mullah aboobacker musliar claims  ' gender equality is un-islamic ... women only fit to give birth ' .,Indians,Indians look down on women.
3658,white lives matter rallies against the blm kidnapping in chicago via,Black Lives Matter supporters,Black Lives Matter supporters kidnap people
11203," you can't  "" unify "" "" with people who have been actively trying to kill / replace you and your history """,Immigrants,Immigrants want to replace natives
13589,savage british man eaters ! blaming adolf hitler ! !,British people,British people are savages
9577,didn't say you were . im not polish but i support polish nationalism . actually arab nationalism for that matter  palestine is being colonized,Jews,Jews want to take over.
19887,how about a fund for the victims of these illegal immigrants? wouldn't that be more proper??,Immigrants,Immigrants should not receive money from gofund me.
8563,another white man shot by blacks over confederate flag on his car via,black people,Black people are killers.
13799,white song parody of fight song by rachel platten via,Minorities,Minorities are second class citizens.
20693,theres plenty of room in that miscreants head for a few 9mm bullets. did the guards deliver them?!,Immigrants,Immigrants should be shot down
20749,"don't they realise if they pull the trigger, they're going to lose badly?i hope they do it, we need a good culling anyway.",Immigrants,Immigrants should be killed
20339,set them free after a train ride to the border.,Immigrants,Immigrants should be violently expelled
9310," is trying to preserve a western culture that was cultivated by white europeans   "" white supremacy "" "" ? """,non-white people,non-white people are incompatible with Western soceity
17007,i hope white racial consciousness reaches a po,Minorities,Minorities are inferior.
4154,i think it is called jewish supremacy ! #jewishprivilege #future,Jewish people,Jewish people are better than others.
18960,the peaceful muslim religion . when they say peaceful they mean rest in peace . look at this typical mu,Muslims,Muslims are dangerous.
10891,thats 5 white boys . thank you  but im black,Whites,Whites are inferior.
11640,let's bring that up to 100 per cent for the non-whites  0 per cent for the whites .,Minorities,Minorities take unfair advantage
9907,really wanted him to be white !,non-white people,non-white people are inferior
12191,: via : white house erases israel from its website #tcot,Progressives,Progressives hate jews.
2297,i am drunk on your white tears of pain ! !,Minorities,Minorities are attacking whites.
19103,you kill in cold blood and attribute it to allah ! so repulsive ! did god ask to kill to kill babies ? shame !,Muslims,Muslims are killers.
16007,especially on a campus that has professors advocating against white makes and for white genocide,Intellectuals,Intellectuals hate white culture
10463,call them what they are - they are anti-white they want to turn every european / white country non-white  that's where all their policies lead to - they need to be on the defense for pushing genocide  you should be on offense,Liberals,Liberals want to destroy white culture
19345,illegals are worse illegal no respect!! bleeding our country dry !! stop all food stamp/ and the roaches will leave !,illegal immigrants,"don't contribute to society, they live off social security benefits"
19397,yeah but the exwives of the old na boneheads are keeping the lulz alive,Old people,Old people are boneheads
9800,modern definition of racist : any white person who doesn't hate other white people enough to please leftists and non-whites .,white people,White people are racist.
8789,i'm anishinaabeg from deshkan ziibi . goodnight white pride !,white people,White people are superior.
